timestamp,datapath_id,flow_id,ip_src,tp_src,ip_dst,tp_dst,ip_proto,icmp_code,icmp_type,flow_duration_sec,flow_duration_nsec,idle_timeout,hard_timeout,flags,packet_count,byte_count,packet_count_per_second,packet_count_per_nsecond,byte_count_per_second,byte_count_per_nsecond,label
1679206201.138957,1,10.0.0.63418410.0.0.1505117,10.0.0.6,34184,10.0.0.1,5051,17,-1,-1,25,17000000,20,100,0,893,1350216,35.72,5.252941176470588e-05,54008.64,0.07942447058823529,0
1679206201.138957,1,10.0.0.75566010.0.0.150506,10.0.0.7,55660,10.0.0.1,5050,6,-1,-1,14,613000000,20,100,0,931772,53337678208,66555.14285714286,0.0015200195758564438,3809834157.714286,87.01089430342577,0
1679206201.138957,1,10.0.0.75117910.0.0.1505117,10.0.0.7,51179,10.0.0.1,5051,17,-1,-1,4,559000000,20,100,0,397,600264,99.25,7.101967799642218e-07,150066.0,0.0010738175313059035,0
1679206201.139103,3,10.0.0.1505010.0.0.7556606,10.0.0.1,5050,10.0.0.7,55660,6,-1,-1,14,611000000,20,100,0,206517,13630134,14751.214285714286,0.00033799836333878885,973581.0,0.0223079116202946,0
1679206201.139103,3,10.0.0.11505010.0.0.6556601,10.0.0.11,5050,10.0.0.6,55660,1,0,0,35,32000000,20,100,0,34,3332,0.9714285714285714,1.0625e-06,95.2,0.000104125,0
1679206201.139103,3,10.0.0.6505010.0.0.11556601,10.0.0.6,5050,10.0.0.11,55660,1,0,8,35,63000000,20,100,0,34,3332,0.9714285714285714,5.396825396825396e-07,95.2,5.288888888888889e-05,0
1679206201.139103,3,10.0.0.75566010.0.0.150506,10.0.0.7,55660,10.0.0.1,5050,6,0,8,14,614000000,20,100,0,931768,53337677944,66554.85714285714,0.0015175374592833876,3809834138.857143,86.86918231921824,0
1679206201.139103,3,10.0.0.75117910.0.0.1505117,10.0.0.7,51179,10.0.0.1,5051,17,0,8,4,562000000,20,100,0,397,600264,99.25,7.06405693950178e-07,150066.0,0.001068085409252669,0
1679206211.137905,3,10.0.0.1010.0.0.1501,10.0.0.1,0,10.0.0.15,0,1,0,8,4,243000000,20,100,0,4,392,1.0,1.646090534979424e-08,98.0,1.6131687242798355e-06,0
1679206211.137905,3,10.0.0.1505010.0.0.7556606,10.0.0.1,5050,10.0.0.7,55660,6,0,8,24,613000000,20,100,0,206517,13630134,8604.875,0.0003368955954323002,567922.25,0.022235128874388256,0
1679206211.137905,3,10.0.0.18010.0.0.7352906,10.0.0.1,80,10.0.0.7,35290,6,0,8,4,488000000,20,100,0,3162,60549662,790.5,6.479508196721311e-06,15137415.5,0.1240771762295082,0
1679206211.137905,3,10.0.0.18010.0.0.7352886,10.0.0.1,80,10.0.0.7,35288,6,0,8,4,501000000,20,100,0,11,1046,2.75,2.1956087824351297e-08,261.5,2.087824351297405e-06,0
1679206211.137905,3,10.0.0.1505110.0.0.75117917,10.0.0.1,5051,10.0.0.7,51179,17,0,8,4,527000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1679206211.137905,3,10.0.0.11505110.0.0.6511791,10.0.0.11,5051,10.0.0.6,51179,1,0,0,45,34000000,20,100,0,44,4312,0.9777777777777777,1.2941176470588235e-06,95.82222222222222,0.0001268235294117647,0
1679206211.137905,3,10.0.0.15505110.0.0.1511791,10.0.0.15,5051,10.0.0.1,51179,1,0,0,4,239000000,20,100,0,4,392,1.0,1.673640167364017e-08,98.0,1.6401673640167365e-06,0
1679206211.137905,3,10.0.0.6505110.0.0.11511791,10.0.0.6,5051,10.0.0.11,51179,1,0,8,45,65000000,20,100,0,44,4312,0.9777777777777777,6.769230769230769e-07,95.82222222222222,6.633846153846154e-05,0
1679206211.137905,3,10.0.0.73529010.0.0.1806,10.0.0.7,35290,10.0.0.1,80,6,0,8,4,496000000,20,100,0,1866,125430,466.5,3.762096774193548e-06,31357.5,0.000252883064516129,0
1679206211.137905,3,10.0.0.73528810.0.0.1806,10.0.0.7,35288,10.0.0.1,80,6,0,8,4,508000000,20,100,0,11,842,2.75,2.1653543307086613e-08,210.5,1.65748031496063e-06,0
1679206211.137905,3,10.0.0.75566010.0.0.150506,10.0.0.7,55660,10.0.0.1,5050,6,0,8,24,616000000,20,100,0,931768,53337677944,38823.666666666664,0.0015126103896103897,2222403247.6666665,86.58713951948052,0
1679206211.137905,3,10.0.0.75117910.0.0.1505117,10.0.0.7,51179,10.0.0.1,5051,17,0,8,14,564000000,20,100,0,893,1350216,63.785714285714285,1.5833333333333333e-06,96444.0,0.002394,0
